#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Газоснабжение
1	ул. Советская, д. 200, Шебалино	1966	Нет	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
2	ул. Почтовая, д. 19А, Шебалино	1975	Нет	400.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
3	ул. Почтовая, д. 54, Шебалино	1977	Нет	810.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
4	ул. Набережная, д. 2, Шебалино	1985	Нет	440.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
5	ул. Советская, д. 91, Шебалино	1977	Нет	608.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
6	ул. Советская, д. 210, Шебалино	1979	Нет	292.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Газоснабжение
7	ул. Советская, д. 198, Шебалино	1966	Нет	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
8	ул. Советская, д. 206, Шебалино	1950	Нет	840.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
9	ул. Горная, д. 70, Шебалино	1958	Нет	100.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
10	ул. Энергетиков, д. 4, Шебалино	1976	Нет	350.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
