#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Тип дома	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1	ул. Совхозная, д. 1, Бирофельд	1973	Не имеется	Нет	16	Не присвоен	2	2	718.20	0.00	0.00	1 975.00	0.00	Жилье	Не имеется	Многоквартирный дом	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	9.70	Скатная	Отсутствует	Железобетонные	Окрашенный	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Тип дома	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
2	ул. Совхозная, д. 3, Бирофельд	1975	Не имеется	Нет	16	Не присвоен	2	2	715.30	0.00	0.00	0.00	0.00	Жилье	Не имеется	Многоквартирный дом	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Окрашенный	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
3	ул. Совхозная, д. 5, Бирофельд	1975	Нет	Не присвоен	2	2	715.30	Жилье	Многоквартирный дом	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	248.50	Отсутствует	Железобетонные	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
4	ул. Молодежная, д. 2, Дубовое	1966	Нет	16	Не присвоен	2	2	2	421.70	45.60	160.20	2 805.00	Жилье	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	439.90	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
5	ул. Молодежная, д. 6, Дубовое	1965	Нет	16	Не присвоен	2	2	2	421.70	45.60	160.20	3 897.00	Жилье	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	440.50	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
6	ул. Школьная, д. 8, Ленинское	1970	Не имеется	Нет	50	Не присвоен	4	4	4	1	2 327.50	210.10	1 992.70	0.00	0.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Смешанные	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	883.50	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Сборный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
7	ул. Ленина, д. 6, Ленинское	1977	Не имеется	Нет	56	Не присвоен	4	5	4	2 669.20	690.30	2 136.00	0.00	0.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Смешанные	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	934.20	Скатная	Отсутствует	Железобетонные	Облицованный плиткой	Сборный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
8	ул. Ленина, д. 1, Ленинское	1971	Не имеется	Нет	56	Не присвоен	4	4	4	2 468.10	448.00	238.50	0.00	0.00	Кирпичный	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	3	0.00	Вытяжная вентиляция	Центральное	Отсутствует	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	778.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Иной
