#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Тип дома	Газоснабжение	Несущие стены	Перекрытия
1	ул. Карла Маркса, д. 28, Большой Царын	1985	Нет	2	2	470.72	88.78	Многоквартирный дом	Автономное	Смешанные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
2	ул. Карла Маркса, д. 29, Большой Царын	1980	Нет	470.72	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
3	ул. Ленина, д. 6, Большой Царын	1988	Нет	70.90	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
4	ул. Ленина, д. 9, Большой Царын	1982	Нет	88.91	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение	Несущие стены	Перекрытия
5	ул. Микрорайон, д. 16, Ики-Бурул	1976	Нет	3	2	513.00	38.00	960.00	Многоквартирный дом	Автономное	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение	Несущие стены	Перекрытия
6	ул. Микрорайон, д. 18, Ики-Бурул	1978	Нет	3	2	519.00	43.00	800.00	Многоквартирный дом	Автономное	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
7	ул. А.С.Пушкина, д. 33, Троицкое	1980	Нет	291.32	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
8	ул. С.М.Буденного, д. 1, Троицкое	1973	Нет	710.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
9	ул. С.М.Буденного, д. 2, Троицкое	1973	Нет	710.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
10	ул. С.М.Буденного, д. 3, Троицкое	1973	Нет	710.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
11	ул. С.М.Буденного, д. 4, Троицкое	1973	Нет	710.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
12	ул. С.М.Буденного, д. 5, Троицкое	1973	Нет	710.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
13	ул. А.С.Пушкина, д. 3, Троицкое	1986	Нет	495.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
14	ул. А.С.Пушкина, д. 4, Троицкое	1986	Нет	495.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
15	мкр. 1-й, д. 33, Элиста	1967	Не имеется	Нет	61	C	4	5	5	3	3 427.38	980.23	0.00	5 180.00	0.00	типовой проект	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	678.00	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Бетонные столбы
