#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
1	ул. 60 лет Октября, д. 2Б, Усть-Камчатск	1992	Нет	2 751.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
2	ул. 60 лет Октября, д. 2, Усть-Камчатск	1978	Нет	3	4	2 222.30	877.80	I-306с-48	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Смешанные	637.80	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
3	ул. 60 лет Октября, д. 8, Усть-Камчатск	1982	Нет	6	5	2 483.90	1 460.10	III ? 138 с	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Панельные	961.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Электроснабжение	Несущие стены	Перекрытия
4	ул. Ленина, д. 69, Усть-Камчатск	1965	Нет	2	2	388.60	41.70	Отсутствует	Автономная котельная (крышная, встроенно-пристроенная)	Центральное	Центральное	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
5	ул. Ленина, д. 75, Усть-Камчатск	1964	Нет	548.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
6	ул. 60 лет Октября, д. 5, Усть-Камчатск	1979	Нет	4	5	2 662.10	941.20	I-464	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Панельные	609.10	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
7	ул. 60 лет Октября, д. 3, Усть-Камчатск	1978	Нет	3	4	2 234.40	427.70	I- 306с-48	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Смешанные	629.70	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Электроснабжение	Площадь подвала, кв.м	Перекрытия
8	ул. 60 лет Октября, д. 16, Усть-Камчатск	1981	Нет	4	5	2 684.20	927.50	I- 464	Отсутствует	Центральное (открытая система)	Центральное	Центральное	600.80	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
9	ул. Школьная, д. 15, Мильково	1982	Нет	1 292.40	1	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
