#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1	ул. Гагарина, д. 3, Черкесск	1969	Нет	4	5	2 126.20	0.00	2 146.00	Многоквартирный дом	1	Центральное	Центральное	Квартирное (квартирный котел)	Центральное	Центральное	Центральное	Каменные, кирпичные	859.60	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
2	пл. Гутякулова, д. 30, Черкесск	1980	Нет	1 716.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
3	пл. Гутякулова, д. 36А, Черкесск	1990	Нет	1 687.30	Автономное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
4	ул. Демиденко, д. 93А, Черкесск	1990	Есть	Нет	158	Не присвоен	8	5	1	3 599.10	0.00	0.00	4 586.00	1 200.00	кирпичный	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	4	Вытяжная вентиляция	Центральное	Внутренние водостоки	Центральное	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	1 856.00	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Сборный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество лифтов	Количество подъездов	Лифты	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
5	ул. Демиденко, д. 109, Черкесск	1993	Есть	Нет	160	Не присвоен	4	4	пассажирские - 4, 	10	10	1	4 564.70	20.00	0.00	3 500.00	400.00	панельный	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Панельные	1 130.00	Скатная	Отсутствует	Железобетонные	Окрашенный	Сплошной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
