#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
1	ул. Московская, д. 15, Назрань	1961	Нет	4 313.40
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
2	ул. Московская, д. 17, Назрань	1974	Нет	10 465.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
3	ул. Московская, д. 28, Назрань	1976	Нет	2 484.30	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
4	ул. Осканова, д. 4, Малгобек	1965	Нет	32	2	4	4	981.70	583.50	571.30	1 619.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
5	ул. Осканова, д. 3, Малгобек	1970	Нет	80	Не присвоен	4	5	3 102.00	1 435.00	792.00	Жилой дом	Многоквартирный дом	1	Центральное	Центральное	Центральное	Центральное	Центральное	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
6	ул. Осканова, д. 10, Малгобек	1973	Нет	64	4	5	5	2 254.00	3 490.80	3 390.80	1 628.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Тип дома	Газоснабжение
7	ул. Осканова, д. 12, Малгобек	1988	Нет	70	6	5	5	2 254.00	1 823.60	1 486.50	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
8	ул. Осканова, д. 13, Малгобек	1971	Нет	64	5	5	5	2 160.00	1 650.00	1 510.00	1 610.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Перекрытия
9	пер. Осканова, д. 5, Малгобек	1980	Нет	Не присвоен	6	5	5 300.60	499.00	1 157.00	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	1	Каменные, кирпичные	794.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
10	ул. Осканова, д. 6, Малгобек	1964	Нет	36	3	4	4	1 830.00	752.30	700.30	1 314.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
11	ул. Осканова, д. 7, Малгобек	1972	Нет	Не присвоен	4	5	3 466.20	342.80	720.60	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	864.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
12	ул. Осканова, д. 8, Малгобек	1967	Нет	32	2	4	4	981.70	591.30	543.30	1 037.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
13	ул. Осканова, д. 13Б, Малгобек	1971	Нет	70	6	5	5	2 316.80	2 254.70	2 114.70	1 714.60	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
14	ул. Нурадилова, д. 75, Малгобек	1961	Нет	3 963.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
15	ул. Нурадилова, д. 77, Малгобек	1972	Нет	70	5	5	5	2 123.70	1 103.40	983.40	1 608.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
16	ул. Базоркина, д. 47, Малгобек	1967	Нет	Не присвоен	2	4	59.00	583.00	500.00	2	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
