#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1	пл. Комсомольская, д. 2, Магадан	1965	Есть	Нет	54	Не присвоен	4	5	1	2	1 810.10	486.00	253.30	372.00	150.00	жс60 К	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Центральное	Отсутствует	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	633.40	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
2	ул. Билибина, д. 2/32, Магадан	1964	Нет	1 329.30	Автономное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3	ул. Гагарина, д. 2, Магадан	1963	Есть	Нет	75	Не присвоен	4	5	1	5	2 728.00	403.00	309.60	3 236.00	0.00	ЖС 40	Не имеется	На счете регионального оператора	Многоквартирный дом	1	1.00	Приточная вентиляция	Центральное	Отсутствует	Отсутствует	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	680.80	Плоская	Отсутствует	Железобетонные	Оштукатуренный	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Крыша	Мусоропровод	Перекрытия	Фасад
4	ш. Колымское, д. 9, Магадан	1975	Не имеется	Нет	96	Не присвоен	6	5	5	4	2 406.40	1 640.20	1 710.40	2 147.00	0.00	Блочный	Не имеется	На счете регионального оператора	Многоквартирный дом	0.00	Приточно-вытяжная вентиляция	Центральное	Отсутствует	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Блочные	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Крыша	Мусоропровод	Перекрытия	Фасад
5	ш. Колымское, д. 11, Магадан	1971	Не имеется	Нет	96	Не присвоен	6	5	5	7	5 550.50	1 259.70	1 279.90	2 677.00	0.00	Шлакоблочный	Не имеется	На счете регионального оператора	Многоквартирный дом	0.00	Приточно-вытяжная вентиляция	Центральное	Отсутствует	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Смешанные	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
6	пл. Комсомольская, д. 4, Магадан	1969	Не имеется	Нет	49	Не присвоен	4	5	1	1	2 435.19	1 260.30	356.81	3 989.40	825.00	ЖС 40	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Приточная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Блочные	1 256.60	Скатная	Отсутствует	Железобетонные	Окрашенный	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Перекрытия	Фасад
7	ул. Нагаевская, д. 46, Магадан	1968	Не имеется	Нет	36	Не присвоен	2	5	1	1	1 502.10	328.30	126.10	1 821.00	852.00	ЖС-40	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Отсутствует	Отсутствует	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	191.50	Плоская	Железобетонные	Окрашенный
