#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
1	ул. К.Хетагурова, д. 89, Алагир	1959	Нет	561.60
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Количество вводов в дом, ед.	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
2	ул. К.Хетагурова, д. 90, Алагир	1952	Нет	455.06	1	Центральное	Наружные водостоки	Центральное	Квартирное (квартирный котел)	Автономная котельная (крышная, встроенно-пристроенная)	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
3	ул. К.Хетагурова, д. 94, Алагир	1957	Нет	377.60
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Газоснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
4	ул. Бутаева, д. 2, Алагир	1961	Есть	Нет	60	6	4	4	2 240.00	Есть	Не определен	Многоквартирный дом	Автономное	Каменные, кирпичные	960.30	Отсутствует	Железобетонные	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
5	ул. К.Хетагурова, д. 101, Алагир	1967	Нет	2 332.40	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
6	ул. К.Хетагурова, д. 103, Алагир	1965	Нет	2 254.70	Автономное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Спортивная площадка	Формирование фонда кап. ремонта	Газоснабжение
7	ул. К.Хетагурова, д. 108, Алагир	1965	Есть	Нет	64	4	5	5	2 576.30	Есть	Не определен	Автономное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Спортивная площадка	Тип дома	Газоснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
8	ул. А.Агузарова, д. 2, Алагир	1970	Есть	Нет	70	4	5	5	2 949.00	957.00	Есть	Многоквартирный дом	Автономное	Панельные	695.00	Отсутствует	Железобетонные	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Газоснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
9	ул. Бутаева, д. 3, Алагир	1970	Есть	Нет	55	3	5	5	2 352.00	Есть	Не определен	Многоквартирный дом	Автономное	Каменные, кирпичные	603.60	Отсутствует	Железобетонные	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Газоснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
10	ул. К.Хетагурова, д. 113, Алагир	1971	Есть	Нет	55	3	5	5	2 323.80	115.00	Есть	Не определен	Многоквартирный дом	Автономное	Каменные, кирпичные	509.00	Отсутствует	Железобетонные	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
11	ул. Кодоева, д. 12, Алагир	1986	Нет	1 448.00	Автономное
