#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1	ул. Дзержинского, д. 1/69, Ноябрьск	1983	Нет	6	5	4 477.00	424.60	94-БАМ	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное	Панельные	1 021.32	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
2	пр-кт. Мира, д. 91А, Ноябрьск	1987	Нет	924.90	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Площадь подвала, кв.м
3	ул. Цоя, д. 21Б, Ноябрьск	1993	Нет	3	5	2 244.60	94-БАМ	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное	565.00
#	Адрес	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
4	ул. Заполярная, д. 30, Лабытнанги	Нет	44.60	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома	Газоснабжение
5	ул. Клубная, д. 40а, Лабытнанги	1959	Нет	86.70	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
6	ул. Космонавтов, д. 33, Ноябрьск	1982	Нет	328.30	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
7	ул. 60 лет СССР, д. 15, к. а, Ноябрьск	1984	Нет	737.60	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Спортивная площадка	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены
8	ул. Изыскателей, д. 17, к. а, Ноябрьск	2007	Не имеется	Нет	2	3	1 878.40	Не имеется	Многоквартирный дом	2	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное	Смешанные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
9	п. СУ-952, д. 36, Ноябрьск	1986	Нет	171.40	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
10	п. СУ-952, д. 51, Ноябрьск	1980	Нет	212.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома
11	ул. СМУ-1, д. 9, Надым	1975	Да	2	2	496.50	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Несущие стены	Перекрытия
12	ул. СМУ-1, д. 16, Надым	1983	Нет	3	2	743.30	Многоквартирный дом	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Несущие стены	Перекрытия
13	ул. СМУ-1, д. 17, Надым	1984	Да	2	902.90	Многоквартирный дом	Деревянные	Деревянные
#	Адрес	Дом признан аварийным	Тип дома
14	ул. Энтузиастов, д. 12, Ноябрьск	Нет	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
15	ул. Уренгойская, д. 14, Ноябрьск	1985	Нет	1	98.70	1 254.00	щитовой	Многоквартирный дом	1	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
16	ул. Коротчаева, д. 8, Ноябрьск	1977	Нет	1	122.90	Многоквартирный дом	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Дом признан аварийным	Тип дома
17	п. Геолог, д. 12, Ноябрьск	Нет	Многоквартирный дом
#	Адрес	Дом признан аварийным	Тип дома
18	п. УДТГ, д. 12, Ноябрьск	Нет	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
19	пер. Таежный, д. 10а, Лабытнанги	1983	Нет	Не присвоен	1	1	69.50	6.50	419.00	Жилой дом	Жилой дом блокированной застройки	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
20	п. АТБ-2, д. 82, Ноябрьск	1981	Нет	40.90	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
21	п. СУ-80, д. 6, Ноябрьск	1980	Нет	Не присвоен	6	1	106.00	0.00	465.00	деревянный щитовой	Многоквартирный дом	1	Автономное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Водоотведение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
22	ул. Набережная, д. 32, Новый Уренгой	1978	Да	Не присвоен	2	2	835.30	769.90	Специализированный жилищный фонд	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
23	п. СУ-80, д. 13, к. а, Ноябрьск	1983	Нет	24.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
24	п. НГДУ ХН, д. 70, Ноябрьск	1980	Нет	Не присвоен	3	1	56.00	щит	Многоквартирный дом	1	Центральное	Отсутствует	Центральное (закрытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Водоотведение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
25	ул. Юбилейная, д. 26, Новый Уренгой	1983	Да	Не присвоен	2	2	809.70	0.00	615.50	111-115-86	Многоквартирный дом	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Тип дома
